;1001_IEO_NEU_XX;N
4762;1059_IOM_FEA_XX.avi;S
704;1009_DFA_FEA_XX.avi;F
4127;1051_IWL_HAP_XX.avi;H
1303;1017_IEO_SAD_MD.avi;N
995;1013_IOM_ANG_XX.avi;A
600;1008_IWW_NEU_XX.avi;N
1685;1021_ITS_HAP_XX.avi;H
4348;1054_IOM_NEU_XX.avi;N
1341;1017_MTI_ANG_XX.avi;A
4233;1052_TSI_HAP_XX.avi;H
5614;1069_DFA_NEU_XX.avi;N
6047;1074_WSI_DIS_XX.avi;D
5740;1071_TIE_FEA_XX.avi;N
5173;1064_IOM_DIS_XX.avi;D
3151;1039_ITH_ANG_XX.avi;A
6695;1082_TSI_FEA_XX.avi;F
222;1003_DFA_SAD_XX.avi;S
5188;1064_MTI_SAD_XX.avi;N
3822;1047_TSI_NEU_XX.avi;N
293;1004_IWL_ANG_XX.avi;A
3585;1044_WSI_ANG_XX.avi;A
1480;1019_TIE_SAD_XX.avi;N
7026;1086_WSI_HAP_XX.avi;H
4670;1058_TIE_NEU_XX.avi;N
7289;1090_IEO_FEA_HI.avi;S
5984;1074_TIE_SAD_XX.avi;S
2174;1027_DFA_FEA_XX.avi;S
530;1007_MTI_NEU_XX.avi;N
2381;1030_IOM_HAP_XX.avi;H
4040;1050_MTI_SAD_XX.avi;N
3684;1046_IEO_DIS_MD.avi;N
3918;1049_IEO_HAP_MD.avi;H
4658;1058_IEO_SAD_LO.avi;S
5063;1062_WSI_DIS_XX.avi;D
5124;1063_DFA_SAD_XX.avi;N
268;1004_IOM_SAD_XX.avi;S
5439;1067_IWL_HAP_XX.avi;H
6794;1084_IEO_ANG_HI.avi;A
5522;1068_IWL_SAD_XX.avi;H
585;1008_IEO_DIS_LO.avi;S
28;1001_IWW_HAP_XX.avi;H
3379;1042_TAI_ANG_XX.avi;A
4284;1053_MTI_NEU_XX.avi;N
4824;1060_IEO_SAD_HI.avi;S
6755;1083_ITH_NEU_XX.avi;N
5748;1071_IWW_NEU_XX.avi;S
6701;1082_WSI_FEA_XX.avi;F
7034;1087_IEO_HAP_HI.avi;H
546;1007_ITH_FEA_XX.avi;D
4503;1056_IEO_DIS_LO.avi;F
7372;1091_IEO_DIS_LO.avi;S
4165;1052_IEO_HAP_HI.avi;H
267;1004_IOM_HAP_XX.avi;H
5708;1070_TSI_NEU_XX.avi;N
5393;1067_IEO_HAP_LO.avi;N
7168;1088_ITH_ANG_XX.avi;N
3112;1039_TIE_NEU_XX.avi;N
2379;1030_TIE_DIS_XX.avi;D
5763;1071_MTI_ANG_XX.avi;A
2787;1035_TIE_ANG_XX.avi;A
7224;1089_IWW_HAP_XX.avi;H
6386;1079_IEO_FEA_MD.avi;D
7315;1090_TAI_FEA_XX.avi;S
2228;1028_TAI_NEU_XX.avi;N
844;1011_TAI_FEA_XX.avi;F
4302;1053_DFA_NEU_XX.avi;N
1220;1016_IEO_SAD_LO.avi;S
2274;1028_WSI_FEA_XX.avi;F
4969;1061_ITS_DIS_XX.avi;D
1473;1019_IEO_FEA_MD.avi;N
1735;1022_IWW_DIS_XX.avi;D
1177;1015_MTI_ANG_XX.avi;A
1502;1019_MTI_NEU_XX.avi;N
3064;1038_IWL_FEA_XX.avi;F
3296;1041_TAI_SAD_XX.avi;N
334;1005_IEO_ANG_MD.avi;N
7130;1088_TIE_HAP_XX.avi;H
3336;1041_WSI_NEU_XX.avi;N
6732;1083_IWW_HAP_XX.avi;H
1150;1015_TIE_NEU_XX.avi;N
5720;1071_IEO_NEU_XX.avi;N
5115;1063_IWL_DIS_XX.avi;S
4281;1053_TAI_ANG_XX.avi;A
6609;1081_TSI_NEU_XX.avi;N
1620;1021_IEO_NEU_XX.avi;N
5339;1066_IWW_HAP_XX.avi;H
6115;1075_ITS_ANG_XX.avi;A
2190;1027_WSI_SAD_XX.avi;S
173;1003_IEO_FEA_MD.avi;D
6552;1081_IEO_DIS_LO.avi;D
4021;1050_IOM_HAP_XX.avi;H
3129;1039_IWW_DIS_XX.avi;D
6594;1081_ITH_ANG_XX.avi;A
412;1006_IEO_SAD_LO.avi;N
5890;1073_IEO_SAD_HI.avi;S
1672;1021_ITH_NEU_XX.avi;N
6588;1081_IWL_ANG_XX.avi;A
509;1007_TIE_ANG_XX.avi;A
3825;1047_TSI_ANG_XX.avi;D
3097;1039_IEO_HAP_LO.avi;H
965;1012_WSI_HAP_XX.avi;H
157;1002_WSI_HAP_XX.avi;H
3031;1038_TIE_HAP_XX.avi;H
2875;1036_IOM_ANG_XX.avi;A
5983;1074_TIE_HAP_XX.avi;H
1429;1018_IWL_ANG_XX.avi;N
875;1011_ITS_DIS_XX.avi;D
3072;1038_DFA_NEU_XX.avi;D
4349;1054_IOM_HAP_XX.avi;H
3307;1041_IWL_HAP_XX.avi;H
5131;1063_ITS_ANG_XX.avi;D
5223;1064_WSI_HAP_XX.avi;H
682;1009_TAI_NEU_XX.avi;N
608;1008_TAI_SAD_XX.avi;F
2753;1034_ITS_ANG_XX.avi;N
5493;1068_TIE_ANG_XX.avi;A
6372;1078_WSI_ANG_XX.avi;A
3050;1038_TAI_SAD_XX.avi;A
5310;1066_IEO_NEU_XX.avi;N
5265;1065_TAI_ANG_XX.avi;A
2311;1029_TAI_HAP_XX.avi;H
184;1003_IOM_NEU_XX.avi;N
4680;1058_IOM_FEA_XX.avi;F
1091;1014_TAI_DIS_XX.avi;D
101;1002_TIE_DIS_XX.avi;D
6478;1080_TIE_DIS_XX.avi;D
7431;1091_TSI_SAD_XX.avi;D
2197;1028_IEO_HAP_HI.avi;H
3176;1039_WSI_FEA_XX.avi;F
1285;1016_ITS_DIS_XX.avi;D
6819;1084_TAI_NEU_XX.avi;N
5842;1072_MTI_NEU_XX.avi;N
6919;1085_ITH_NEU_XX.avi;N
4850;1060_IWW_FEA_XX.avi;N
5655;1070_TIE_HAP_XX.avi;H
3792;1047_MTI_NEU_XX.avi;N
4574;1057_IEO_HAP_MD.avi;H
4541;1056_IWL_DIS_XX.avi;D
5753;1071_IWW_DIS_XX.avi;D
5015;1062_IWW_DIS_XX.avi;D
1795;1023_IEO_FEA_MD.avi;N
4097;1051_TIE_HAP_XX.avi;H
4698;1058_MTI_FEA_XX.avi;F
1478;1019_TIE_NEU_XX.avi;N
5937;1073_ITH_HAP_XX.avi;H
4504;1056_IEO_DIS_MD.avi;F
633;1008_DFA_ANG_XX.avi;A
4727;1058_TSI_ANG_XX.avi;A
1679;1021_DFA_HAP_XX.avi;H
5138;1063_TSI_FEA_XX.avi;F
2462;1031_IOM_NEU_XX.avi;N
5660;1070_IOM_NEU_XX.avi;N
2032;1026_IEO_HAP_MD.avi;H
91;1002_IEO_FEA_LO.avi;F
3568;1044_DFA_FEA_XX.avi;F
1800;1023_TIE_NEU_XX.avi;N
5956;1073_TSI_SAD_XX.avi;N
5324;1066_IEO_DIS_MD.avi;S
330;1005_IEO_SAD_LO.avi;N
7329;1090_ITH_NEU_XX.avi;N
3536;1044_IWW_SAD_XX.avi;N
2773;1035_IEO_SAD_MD.avi;N
771;1010_IWL_HAP_XX.avi;H
1775;1022_TSI_ANG_XX.avi;A
765;1010_MTI_HAP_XX.avi;H
149;1002_ITS_DIS_XX.avi;D
5325;1066_IEO_DIS_HI.avi;D
6580;1081_MTI_HAP_XX.avi;H
6469;1080_IEO_FEA_HI.avi;F
2150;1027_TAI_FEA_XX.avi;A
3573;1044_ITS_ANG_XX.avi;A
2950;1037_TIE_SAD_XX.avi;S
2101;1026_TSI_HAP_XX.avi;H
7145;1088_IWW_FEA_XX.avi;N
5071;1063_IEO_ANG_LO.avi;D
4782;1059_IWL_NEU_XX.avi;N
6388;1079_IEO_DIS_LO.avi;D
4704;1058_IWL_FEA_XX.avi;F
1135;1015_IEO_HAP_LO.avi;H
2463;1031_IOM_HAP_XX.avi;H
5351;1066_MTI_HAP_XX.avi;H
1240;1016_IOM_SAD_XX.avi;N
4156;1051_WSI_NEU_XX.avi;N
1805;1023_TIE_DIS_XX.avi;D
605;1008_IWW_DIS_XX.avi;S
558;1007_ITS_FEA_XX.avi;F
1072;1014_TIE_FEA_XX.avi;F
3378;1042_TAI_SAD_XX.avi;S
6005;1074_TAI_DIS_XX.avi;D
4384;1054_DFA_NEU_XX.avi;N
5798;1071_WSI_SAD_XX.avi;S
6258;1077_IWL_HAP_XX.avi;H
3452;1043_IWW_NEU_XX.avi;N
3004;1037_TSI_SAD_XX.avi;S
3600;1045_IEO_FEA_HI.avi;F
2938;1037_IEO_SAD_HI.avi;F
3142;1039_IWL_NEU_XX.avi;N
7112;1087_WSI_DIS_XX.avi;D
6746;1083_MTI_ANG_XX.avi;A
1569;1020_IWW_ANG_XX.avi;N
7086;1087_ITH_ANG_XX.avi;S
6519;1080_DFA_FEA_XX.avi;N
5175;1064_IWW_HAP_XX.avi;H
3315;1041_ITH_ANG_XX.avi;A
5316;1066_IEO_SAD_HI.avi;N
2648;1033_MTI_FEA_XX.avi;F
5225;1064_WSI_ANG_XX.avi;A
4739;1059_IEO_HAP_HI.avi;H
6360;1078_ITS_ANG_XX.avi;A
6063;1075_IEO_DIS_HI.avi;S
53;1001_ITH_SAD_XX.avi;N
4922;1061_IOM_NEU_XX.avi;N
6902;1085_TAI_HAP_XX.avi;H
975;1013_IEO_SAD_MD.avi;N
913;1012_IOM_ANG_XX.avi;H
7139;1088_IOM_FEA_XX.avi;H
5449;1067_ITH_DIS_XX.avi;D
4318;1053_TSI_FEA_XX.avi;F
2928;1036_WSI_SAD_XX.avi;S
5744;1071_IOM_SAD_XX.avi;N
1912;1024_IWL_NEU_XX.avi;N
5767;1071_IWL_HAP_XX.avi;H
1799;1023_IEO_DIS_HI.avi;D
3311;1041_IWL_DIS_XX.avi;D
2654;1033_IWL_FEA_XX.avi;D
2610;1033_IEO_SAD_HI.avi;F
6459;1080_IEO_HAP_MD.avi;H
1225;1016_IEO_ANG_HI.avi;A
5460;1067_ITS_FEA_XX.avi;D
6984;1086_TAI_HAP_XX.avi;H
3775;1047_IOM_HAP_XX.avi;H
5998;1074_IWW_FEA_XX.avi;S
2499;1031_DFA_HAP_XX.avi;N
2329;1029_ITH_HAP_XX.avi;H
2823;1035_ITH_ANG_XX.avi;A
4921;1061_TIE_DIS_XX.avi;D
2712;1034_IOM_FEA_XX.avi;N
1170;1015_TAI_SAD_XX.avi;N
5595;1069_TAI_DIS_XX.avi;D
3178;1040_IEO_NEU_XX.avi;N
166;1003_IEO_SAD_LO.avi;S
944;1012_ITH_FEA_XX.avi;F
3474;1043_IWL_FEA_XX.avi;D
5031;1062_IWL_ANG_XX.avi;S
4136;1051_ITH_FEA_XX.avi;N
6761;1083_DFA_NEU_XX.avi;N
2029;1025_WSI_DIS_XX.avi;D
2935;1037_IEO_HAP_HI.avi;H
191;1003_IWW_HAP_XX.avi;H
4835;1060_TIE_HAP_XX.avi;H
2089;1026_DFA_HAP_XX.avi;H
1427;1018_IWL_HAP_XX.avi;H
3984;1049_ITS_FEA_XX.avi;F
1861;1023_WSI_HAP_XX.avi;H
6593;1081_ITH_SAD_XX.avi;N
1196;1015_DFA_FEA_XX.avi;A
7366;1091_IEO_ANG_LO.avi;N
5651;1070_IEO_DIS_LO.avi;D
1985;1025_TAI_ANG_XX.avi;A
1071;1014_TIE_ANG_XX.avi;A
1435;1018_ITH_ANG_XX.avi;A
3786;1047_TAI_NEU_XX.avi;N
7200;1089_IEO_SAD_MD.avi;S
752;1010_IWW_NEU_XX.avi;N
6598;1081_DFA_HAP_XX.avi;H
918;1012_IWW_SAD_XX.avi;N
1699;1021_WSI_ANG_XX.avi;A
2143;1027_IWW_ANG_XX.avi;A
4672;1058_TIE_SAD_XX.avi;S
2741;1034_ITH_ANG_XX.avi;N
1711;1022_IEO_ANG_HI.avi;A
7063;1087_IWW_FEA_XX.avi;N
3357;1042_IEO_DIS_HI.avi;D
4957;1061_ITH_DIS_XX.avi;D
3807;1047_ITH_ANG_XX.avi;F
6056;1075_IEO_ANG_MD.avi;A
2266;1028_TSI_SAD_XX.avi;S
4262;1053_TIE_SAD_XX.avi;S
364;1005_TAI_FEA_XX.avi;F
3589;1045_IEO_HAP_LO.avi;H
1570;1020_IWW_FEA_XX.avi;S
4101;1051_TIE_DIS_XX.avi;S
4989;1062_IEO_ANG_LO.avi;N
2925;1036_TSI_DIS_XX.avi;D
4881;1060_DFA_DIS_XX.avi;D
550;1007_DFA_SAD_XX.avi;N
3065;1038_IWL_DIS_XX.avi;D
6367;1078_TSI_FEA_XX.avi;F
4328;1054_IEO_HAP_MD.avi;H
309;1004_ITS_HAP_XX.avi;H
2843;1035_TSI_DIS_XX.avi;D
6497;1080_MTI_NEU_XX.avi;N
2254;1028_DFA_SAD_XX.avi;S
1802;1023_TIE_SAD_XX.avi;D
6531;1080_TSI_FEA_XX.avi;F
4047;1050_IWL_ANG_XX.avi;A
606;1008_TAI_NEU_XX.avi;N
2606;1033_IEO_HAP_MD.avi;H
6262;1077_IWL_DIS_XX.avi;D
6596;1081_ITH_DIS_XX.avi;D
3492;1043_ITS_FEA_XX.avi;D
5542;1068_ITS_FEA_XX.avi;N
1561;1020_IOM_HAP_XX.avi;H
4387;1054_DFA_ANG_XX.avi;A
1649;1021_IWW_HAP_XX.avi;H
134;1002_ITH_SAD_XX.avi;N
4235;1052_TSI_ANG_XX.avi;A
3725;1046_ITH_ANG_XX.avi;N
304;1004_DFA_SAD_XX.avi;S
260;1004_TIE_NEU_XX.avi;N
1820;1023_TAI_SAD_XX.avi;N
5209;1064_DFA_DIS_XX.avi;S
1707;1022_IEO_SAD_MD.avi;N
3547;1044_MTI_HAP_XX.avi;H
1518;1019_DFA_FEA_XX.avi;N
7248;1089_ITH_HAP_XX.avi;H
4752;1059_TIE_NEU_XX.avi;N
1319;1017_TIE_DIS_XX.avi;N
1774;1022_TSI_SAD_XX.avi;N
5987;1074_TIE_DIS_XX.avi;D
1479;1019_TIE_HAP_XX.avi;H
1718;1022_TIE_NEU_XX.avi;N
1646;1021_IOM_FEA_XX.avi;N
2817;1035_IWL_ANG_XX.avi;A
2973;1037_MTI_HAP_XX.avi;H
5973;1074_IEO_ANG_LO.avi;N
22;1001_IOM_HAP_XX.avi;H
3040;1038_IOM_FEA_XX.avi;F
2395;1030_TAI_ANG_XX.avi;A
2345;1029_ITS_DIS_XX.avi;A
3104;1039_IEO_ANG_MD.avi;A
390;1005_ITS_NEU_XX.avi;N
2723;1034_TAI_ANG_XX.avi;N
3683;1046_IEO_DIS_LO.avi;N
4261;1053_TIE_HAP_XX.avi;H
4323;1053_WSI_ANG_XX.avi;A
71;1001_TSI_SAD_XX.avi;S
4716;1058_DFA_FEA_XX.avi;F
4706;1058_ITH_NEU_XX.avi;N
7106;1087_TSI_DIS_XX.avi;D
5715;1070_WSI_HAP_XX.avi;N
2527;1032_IEO_SAD_MD.avi;N
3743;1046_TSI_ANG_XX.avi;N
156;1002_WSI_NEU_XX.avi;N
4958;1061_DFA_NEU_XX.avi;N
240;1003_WSI_SAD_XX.avi;S
5134;1063_TSI_NEU_XX.avi;N
3443;1043_TIE_ANG_XX.avi;A
5668;1070_IWW_SAD_XX.avi;N
3039;1038_IOM_ANG_XX.avi;A
4019;1050_TIE_DIS_XX.avi;D
2579;1032_ITH_DIS_XX.avi;S
619;1008_IWL_HAP_XX.avi;H
4938;1061_TAI_FEA_XX.avi;F
2496;1031_ITH_FEA_XX.avi;D
7260;1089_ITS_HAP_XX.avi;H
5519;1068_MTI_DIS_XX.avi;D
5934;1073_IWL_FEA_XX.avi;S
5844;1072_MTI_SAD_XX.avi;F
3499;1043_TSI_DIS_XX.avi;D
1367;1017_ITS_DIS_XX.avi;D
3453;1043_IWW_HAP_XX.avi;H
2327;1029_IWL_DIS_XX.avi;S
1825;1023_MTI_HAP_XX.avi;H
3347;1042_IEO_SAD_MD.avi;N
3639;1045_IWL_DIS_XX.avi;D
2132;1027_TIE_FEA_XX.avi;A
138;1002_DFA_NEU_XX.avi;N
2204;1028_IEO_FEA_LO.avi;F
2725;1034_TAI_DIS_XX.avi;N
5781;1071_DFA_ANG_XX.avi;A
4948;1061_IWL_SAD_XX.avi;N
7184;1088_TSI_HAP_XX.avi;H
3243;1040_ITS_HAP_XX.avi;H
3680;1046_IEO_FEA_LO.avi;N
3001;1037_ITS_DIS_XX.avi;D
5206;1064_DFA_SAD_XX.avi;N
883;1011_WSI_HAP_XX.avi;H
5971;1074_IEO_SAD_MD.avi;S
1682;1021_DFA_FEA_XX.avi;F
4617;1057_MTI_DIS_XX.avi;D
6277;1077_ITS_SAD_XX.avi;N
1260;1016_MTI_FEA_XX.avi;D
5683;1070_MTI_DIS_XX.avi;D
16;1001_TIE_HAP_XX.avi;H
5893;1073_IEO_ANG_HI.avi;F
195;1003_IWW_DIS_XX.avi;D
4425;1055_TIE_HAP_XX.avi;H
4367;1054_MTI_HAP_XX.avi;H
5136;1063_TSI_SAD_XX.avi;F
7252;1089_ITH_DIS_XX.avi;D
7434;1091_TSI_DIS_XX.avi;D
4322;1053_WSI_SAD_XX.avi;F
2151;1027_TAI_DIS_XX.avi;D
850;1011_MTI_FEA_XX.avi;F
2085;1026_ITH_ANG_XX.avi;F
5156;1064_IEO_FEA_LO.avi;S
2487;1031_IWL_HAP_XX.avi;H
1780;1022_WSI_SAD_XX.avi;N
6784;1083_WSI_DIS_XX.avi;S
5363;1066_ITH_HAP_XX.avi;H
4377;1054_IWL_DIS_XX.avi;D
6799;1084_IEO_DIS_MD.avi;D
1952;1025_IEO_SAD_LO.avi;N
980;1013_IEO_FEA_LO.avi;N
4620;1057_IWL_SAD_XX.avi;N
5366;1066_ITH_FEA_XX.avi;F
2182;1027_TSI_NEU_XX.avi;N
1250;1016_TAI_NEU_XX.avi;N
6006;1074_MTI_NEU_XX.avi;S
4944;1061_MTI_FEA_XX.avi;F
3993;1049_WSI_HAP_XX.avi;H
6023;1074_ITH_DIS_XX.avi;D
1336;1017_TAI_FEA_XX.avi;N
2498;1031_DFA_NEU_XX.avi;N
6503;1080_IWL_NEU_XX.avi;N
3011;1037_WSI_ANG_XX.avi;A
7425;1091_ITS_SAD_XX.avi;F
1944;1024_WSI_SAD_XX.avi;S
3273;1041_IEO_DIS_LO.avi;N
321;1004_WSI_HAP_XX.avi;H
1500;1019_TAI_FEA_XX.avi;N
1713;1022_IEO_FEA_MD.avi;N
491;1007_IEO_HAP_LO.avi;H
5717;1070_WSI_ANG_XX.avi;D
383;1005_ITH_DIS_XX.avi;D
5822;1072_TIE_FEA_XX.avi;F
6509;1080_ITH_NEU_XX.avi;N
6737;1083_TAI_NEU_XX.avi;N
4622;1057_IWL_FEA_XX.avi;N
1425;1018_MTI_DIS_XX.avi;D
5318;1066_IEO_ANG_MD.avi;N
6823;1084_TAI_FEA_XX.avi;F
5851;1072_IWL_ANG_XX.avi;A
4623;1057_IWL_DIS_XX.avi;D
6628;1082_IEO_ANG_LO.avi;D
2581;1032_DFA_HAP_XX.avi;H
3081;1038_ITS_ANG_XX.avi;A
3832;1047_WSI_FEA_XX.avi;F
7017;1086_ITS_FEA_XX.avi;D
4572;1057_IEO_NEU_XX.avi;N
3742;1046_TSI_SAD_XX.avi;N
277;1004_IWW_DIS_XX.avi;S
2036;1026_IEO_SAD_HI.avi;F
583;1008_IEO_FEA_MD.avi;F
1624;1021_IEO_SAD_LO.avi;N
374;1005_IWL_SAD_XX.avi;N
6505;1080_IWL_SAD_XX.avi;S
5707;1070_ITS_DIS_XX.avi;D
5646;1070_IEO_ANG_MD.avi;D
516;1007_IOM_FEA_XX.avi;N
641;1008_ITS_DIS_XX.avi;S
2416;1030_DFA_NEU_XX.avi;S
5332;1066_IOM_NEU_XX.avi;N
2745;1034_DFA_HAP_XX.avi;H
376;1005_IWL_FEA_XX.avi;F
4722;1058_ITS_FEA_XX.avi;F
3228;1040_IWL_FEA_XX.avi;N
4501;1056_IEO_FEA_MD.avi;F
6955;1086_IEO_SAD_HI.avi;N
2570;1032_IWL_SAD_XX.avi;N
453;1006_MTI_DIS_XX.avi;D
5645;1070_IEO_ANG_LO.avi;D
3506;1044_IEO_NEU_XX.avi;N
2831;1035_DFA_DIS_XX.avi;D
2370;1030_IEO_FEA_HI.avi;F
937;1012_IWL_ANG_XX.avi;N
5395;1067_IEO_HAP_HI.avi;H
3609;1045_TIE_DIS_XX.avi;D
3988;1049_TSI_SAD_XX.avi;N
851;1011_MTI_DIS_XX.avi;D
1868;1024_IEO_HAP_MD.avi;H
1741;1022_TAI_DIS_XX.avi;D
5234;1065_IEO_SAD_HI.avi;N
6253;1077_MTI_SAD_XX.avi;N
1266;1016_IWL_FEA_XX.avi;F
2079;1026_IWL_ANG_XX.avi;A
5826;1072_IOM_SAD_XX.avi;S
7363;1091_IEO_SAD_LO.avi;S
3649;1045_DFA_ANG_XX.avi;D
5666;1070_IWW_NEU_XX.avi;N
3136;1039_MTI_NEU_XX.avi;N
6268;1077_ITH_DIS_XX.avi;D
4750;1059_IEO_DIS_MD.avi;D
7115;1088_IEO_HAP_MD.avi;H
3033;1038_TIE_ANG_XX.avi;A
5445;1067_ITH_HAP_XX.avi;H
827;1011_TIE_DIS_XX.avi;A
4908;1061_IEO_ANG_MD.avi;A
4052;1050_ITH_SAD_XX.avi;N
1504;1019_MTI_SAD_XX.avi;N
1025;1013_ITH_ANG_XX.avi;A
261;1004_TIE_HAP_XX.avi;H
2667;1033_DFA_DIS_XX.avi;D
1725;1022_IOM_HAP_XX.avi;H
5326;1066_TIE_NEU_XX.avi;N
6639;1082_TIE_SAD_XX.avi;S
6025;1074_DFA_HAP_XX.avi;H
5831;1072_IWW_HAP_XX.avi;H
2440;1031_IEO_NEU_XX.avi;N
6419;1079_MTI_FEA_XX.avi;F
737;1010_IEO_DIS_LO.avi;S
359;1005_IWW_DIS_XX.avi;N
6740;1083_TAI_ANG_XX.avi;D
2732;1034_IWL_NEU_XX.avi;N
6644;1082_IOM_HAP_XX.avi;H
6625;1082_IEO_SAD_LO.avi;S
1365;1017_ITS_ANG_XX.avi;N
4142;1051_DFA_FEA_XX.avi;A
6399;1079_IOM_SAD_XX.avi;S
7177;1088_ITS_NEU_XX.avi;N
181;1003_TIE_ANG_XX.avi;A
4876;1060_DFA_NEU_XX.avi;N
451;1006_MTI_ANG_XX.avi;A
4996;1062_IEO_DIS_MD.avi;D
881;1011_TSI_DIS_XX.avi;D
5068;1063_IEO_SAD_LO.avi;N
703;1009_DFA_ANG_XX.avi;A
6431;1079_ITH_FEA_XX.avi;F
616;1008_MTI_FEA_XX.avi;S
1910;1024_MTI_FEA_XX.avi;S
3798;1047_IWL_NEU_XX.avi;N
6015;1074_IWL_ANG_XX.avi;A
5231;1065_IEO_HAP_HI.avi;H
3184;1040_IEO_SAD_HI.avi;N
3688;1046_TIE_SAD_XX.avi;N
820;1011_IEO_DIS_MD.avi;S
2427;1030_ITS_DIS_XX.avi;D
3319;1041_DFA_HAP_XX.avi;H
2612;1033_IEO_ANG_MD.avi;D
4161;1051_WSI_DIS_XX.avi;D
4110;1051_IWW_SAD_XX.avi;N
5680;1070_MTI_SAD_XX.avi;N
6274;1077_DFA_DIS_XX.avi;A
2295;1029_TIE_ANG_XX.avi;A
5561;1069_IEO_SAD_MD.avi;S
3054;1038_MTI_NEU_XX.avi;N
2259;1028_ITS_HAP_XX.avi;H
2216;1028_IOM_NEU_XX.avi;D
6137;1076_IEO_ANG_LO.avi;S
4516;1056_IOM_FEA_XX.avi;N
914;1012_IOM_FEA_XX.avi;F
806;1011_IEO_NEU_XX.avi;N
6013;1074_IWL_HAP_XX.avi;H
574;1008_IEO_HAP_MD.avi;H
1179;1015_MTI_DIS_XX.avi;S
4159;1051_WSI_ANG_XX.avi;A
4077;1050_WSI_ANG_XX.avi;A
2945;1037_IEO_DIS_LO.avi;D
4863;1060_MTI_DIS_XX.avi;D
5899;1073_IEO_DIS_HI.avi;D
1088;1014_TAI_SAD_XX.avi;N
2367;1030_IEO_ANG_HI.avi;A
3203;1040_IOM_ANG_XX.avi;H
4700;1058_IWL_NEU_XX.avi;N
1313;1017_IEO_DIS_HI.avi;S
7367;1091_IEO_ANG_MD.avi;A
588;1008_TIE_NEU_XX.avi;N
3722;1046_ITH_NEU_XX.avi;N
6960;1086_IEO_FEA_MD.avi;N
503;1007_IEO_DIS_LO.avi;D
2878;1036_IWW_NEU_XX.avi;F
3133;1039_TAI_ANG_XX.avi;A
3237;1040_DFA_HAP_XX.avi;H
2962;1037_IWW_SAD_XX.avi;S
5291;1065_DFA_DIS_XX.avi;D
2860;1036_IEO_FEA_LO.avi;F
4012;1050_IEO_DIS_MD.avi;H
1752;1022_IWL_FEA_XX.avi;F
5373;1066_DFA_DIS_XX.avi;D
10;1001_IEO_FEA_MD.avi;N
2884;1036_TAI_NEU_XX.avi;S
26;1001_IOM_DIS_XX.avi;D
2317;1029_MTI_HAP_XX.avi;H
6995;1086_IWL_NEU_XX.avi;N
3653;1045_ITS_HAP_XX.avi;H
446;1006_TAI_FEA_XX.avi;S
613;1008_MTI_HAP_XX.avi;H
4995;1062_IEO_DIS_LO.avi;S
885;1011_WSI_ANG_XX.avi;A
5108;1063_MTI_FEA_XX.avi;S
5584;1069_IWW_NEU_XX.avi;N
3507;1044_IEO_HAP_LO.avi;H
2826;1035_DFA_NEU_XX.avi;N
7385;1091_IOM_FEA_XX.avi;F
2636;1033_IWW_FEA_XX.avi;F
6095;1075_IWL_HAP_XX.avi;H
2212;1028_TIE_SAD_XX.avi;S
1770;1022_ITS_FEA_XX.avi;F
104;1002_IOM_SAD_XX.avi;N
3317;1041_ITH_DIS_XX.avi;D
4106;1051_IOM_FEA_XX.avi;F
6607;1081_ITS_FEA_XX.avi;F
4778;1059_MTI_SAD_XX.avi;S
531;1007_MTI_HAP_XX.avi;H
21;1001_IOM_NEU_XX.avi;N
4917;1061_TIE_HAP_XX.avi;H
2033;1026_IEO_HAP_HI.avi;H
5864;1072_DFA_FEA_XX.avi;F
2794;1035_IOM_FEA_XX.avi;D
1778;1022_WSI_NEU_XX.avi;N
5268;1065_MTI_NEU_XX.avi;N
6198;1076_ITS_DIS_XX.avi;D
7244;1089_IWL_ANG_XX.avi;A
4385;1054_DFA_HAP_XX.avi;H
3035;1038_TIE_DIS_XX.avi;D
543;1007_ITH_HAP_XX.avi;H
5946;1073_DFA_FEA_XX.avi;F
1601;1020_DFA_DIS_XX.avi;S
4659;1058_IEO_SAD_MD.avi;S
5562;1069_IEO_SAD_HI.avi;S
6916;1085_IWL_ANG_XX.avi;A
6294;1078_IEO_HAP_LO.avi;H
6264;1077_ITH_HAP_XX.avi;H
670;1009_IOM_NEU_XX.avi;N
589;1008_TIE_HAP_XX.avi;H
4174;1052_IEO_FEA_HI.avi;F
7390;1091_IWW_ANG_XX.avi;D
5145;1063_WSI_DIS_XX.avi;S
2899;1036_IWL_ANG_XX.avi;A
572;1008_IEO_NEU_XX.avi;N
4894;1060_WSI_NEU_XX.avi;N
3179;1040_IEO_HAP_LO.avi;H
6489;1080_IWW_FEA_XX.avi;F
2334;1029_DFA_NEU_XX.avi;N
5211;1064_ITS_HAP_XX.avi;H
2783;1035_IEO_DIS_HI.avi;D
3288;1041_IWW_NEU_XX.avi;N
352;1005_IOM_FEA_XX.avi;N
4512;1056_IOM_NEU_XX.avi;N
3471;1043_IWL_HAP_XX.avi;H
1201;1015_ITS_ANG_XX.avi;A
5582;1069_IOM_FEA_XX.avi;F
6573;1081_TAI_NEU_XX.avi;N
3417;1042_TSI_DIS_XX.avi;D
1297;1016_WSI_DIS_XX.avi;D
1553;1020_IEO_DIS_HI.avi;S
3284;1041_IOM_SAD_XX.avi;N
5823;1072_TIE_DIS_XX.avi;F
5608;1069_ITH_NEU_XX.avi;N
